source_file,legacy_path_or_template,normalized_path,type,dynamic_template,binary_available,status
core/src/player/CPlayer.java,khicau.png,khicau.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/item/Bullet.java,khoang.png,khoang.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/effect/Smoke.java,khoi.png,khoi.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/effect/Explosion.java,khoidoc.png,khoidoc.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/screen/PrepareScr.java,khungmap.png,khungmap.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/effect/Smoke.java,lacay.png,lacay.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/effect/Smoke.java,lacay2.png,lacay2.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/item/Bullet.java,laser.png,laser.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/player/CPlayer.java,leg.png,leg.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/Background.java,lg.png,lg.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/screen/GameScr.java,lock.png,lock.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/screen/GameScr.java,lock2.png,lock2.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/effect/Smoke.java,locxoay.png,locxoay.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/screen/GameScr.java,logo_2.png,logo_2.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/effect/Smoke.java,longga.png,longga.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/Background.java,longga.png,longga.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/effect/Smoke.java,lua.png,lua.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/player/CPlayer.java,ma.png,ma.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/player/CPlayer.java,ma2.png,ma2.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/player/CPlayer.java,magenta.png,magenta.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/player/CPlayer.java,mainGun.png,mainGun.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/CMap.java,mangnhen.png,mangnhen.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/screen/GameScr.java,menubg.png,menubg.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/Background.java,miniballoon.png,miniballoon.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/Background.java,mocxich.png,mocxich.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/screen/GameScr.java,mode.png,mode.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/screen/GameScr.java,msg0.png,msg0.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/screen/GameScr.java,msg1.png,msg1.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/effect/Explosion.java,mua.png,mua.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/screen/GameScr.java,off.png,off.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/screen/GameScr.java,on.png,on.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/screen/GameScr.java,popupRound.png,popupRound.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/screen/GameScr.java,quanham.png,quanham.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/screen/GameScr.java,r2.png,r2.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/CMap.java,rangehole.png,rangehole.png,image,NO,NO,BLOCKED_ASSET_MISSING
desktop/src/com/mygdx/game/DesktopLauncher.java,res/icon.png,res/icon.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/player/CPlayer.java,robot.png,robot.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/effect/Smoke.java,rock1.png,rock1.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/Background.java,rock1.png,rock1.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/effect/Smoke.java,rock2.png,rock2.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/Background.java,rock2.png,rock2.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/CMap.java,rocket.png,rocket.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/item/Bullet.java,rocket2.png,rocket2.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/player/CPlayer.java,rocketer.png,rocketer.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/item/Bullet.java,saobang.png,saobang.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/CMap.java,smallhole.png,smallhole.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/effect/Smoke.java,smoke.png,smoke.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/effect/Smoke.java,smoke2.png,smoke2.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/effect/Smoke.java,smokeFire.png,smokeFire.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/model/Font.java,so.png,so.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/item/Bullet.java,specialbullet.png,specialbullet.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/player/CPlayer.java,spider.png,spider.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/screen/GameScr.java,stat.png,stat.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/Background.java,stone.png,stone.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/Background.java,sun0.png,sun0.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/Background.java,sun1.png,sun1.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/model/Font.java,tahoma9.png,tahoma9.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/effect/Explosion.java,tangHinhEffect.png,tangHinhEffect.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/player/CPlayer.java,tazz.png,tazz.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/effect/Explosion.java,teleport_eff.png,teleport_eff.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/item/Bullet.java,thienthach.png,thienthach.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/effect/Explosion.java,thuocno.png,thuocno.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/screen/GameScr.java,transparent.png,transparent.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/screen/GameScr.java,trs.png,trs.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/item/Bullet.java,trung2.png,trung2.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/item/Bullet.java,trungvang.png,trungvang.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/effect/Smoke.java,water.png,water.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/effect/Explosion.java,waterBum.png,waterBum.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/item/Bullet.java,web.png,web.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/Background.java,web.png,web.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/Background.java,wts.png,wts.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/player/CPlayer.java,yellowP.png,yellowP.png,image,NO,NO,BLOCKED_ASSET_MISSING
core/src/screen/CScreen.java,/map/arrow.png,/map/arrow.png,map,NO,NO,BLOCKED_ASSET_MISSING
core/src/screen/LevelScreen.java,/map/arrow1.png,/map/arrow1.png,map,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/Background.java,/map/bgItem/back1.png,/map/bgItem/back1.png,map,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/Background.java,/map/bgItem/back11.png,/map/bgItem/back11.png,map,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/Background.java,/map/bgItem/back12.png,/map/bgItem/back12.png,map,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/Background.java,/map/bgItem/back14.png,/map/bgItem/back14.png,map,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/Background.java,/map/bgItem/back15.png,/map/bgItem/back15.png,map,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/Background.java,/map/bgItem/back16.png,/map/bgItem/back16.png,map,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/Background.java,/map/bgItem/back17.png,/map/bgItem/back17.png,map,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/Background.java,/map/bgItem/back2.png,/map/bgItem/back2.png,map,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/Background.java,/map/bgItem/back3.png,/map/bgItem/back3.png,map,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/Background.java,/map/bgItem/back4.png,/map/bgItem/back4.png,map,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/Background.java,/map/bgItem/back5.png,/map/bgItem/back5.png,map,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/Background.java,/map/bgItem/back6.png,/map/bgItem/back6.png,map,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/Background.java,/map/bgItem/back7.png,/map/bgItem/back7.png,map,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/Background.java,/map/bgItem/back8.png,/map/bgItem/back8.png,map,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/Background.java,/map/bgItem/bang.png,/map/bgItem/bang.png,map,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/Background.java,/map/bgItem/bg-cloud.png,/map/bgItem/bg-cloud.png,map,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/Background.java,/map/bgItem/bg_cloud1.png,/map/bgItem/bg_cloud1.png,map,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/Background.java,/map/bgItem/canhdong.png,/map/bgItem/canhdong.png,map,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/Background.java,/map/bgItem/halongkaka.png,/map/bgItem/halongkaka.png,map,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/Background.java,/map/bgItem/map_spider_layout.png,/map/bgItem/map_spider_layout.png,map,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/Background.java,/map/bgItem/rock_down.png,/map/bgItem/rock_down.png,map,NO,NO,BLOCKED_ASSET_MISSING
core/src/map/Background.java,/map/bgItem/rock_up.png,/map/bgItem/rock_up.png,map,NO,NO,BLOCKED_ASSET_MISSING
